parameter_name,long_name,classification,classification_confidence,classification_reasoning,value_type,value_details,defined_by_extensions,defined_by_summary,has_requirements,num_csr_references,csr_names,spec_file,spec_line,spec_score,spec_is_normative,spec_in_note,spec_text,description
ARCH_ID_VALUE,Vendor-specific architecture ID in `marchid`,NORM_DIRECT,high,Well-known architectural parameter 'ARCH_ID_VALUE',conditional,2 conditional branches,Sm,ext:Sm AND param:MARCHID_IMPLEMENTED(equal=True),False,1,marchid,machine.adoc,297,8,False,False,==== Machine Architecture ID (`marchid`) Register,"The value of `marchid`
The combination of mvendorid and marchid should uniquely identify the type of hart microarchitecture that is implemented."
ASID_WIDTH,TODO,NORM_DIRECT,high,Well-known architectural parameter 'ASID_WIDTH',conditional,2 conditional branches,S,ext:S,False,0,,supervisor.adoc,1373,5,True,False,"[#norm:sfence-vma-asid_effect]#Likewise, changes to `satp`.ASID take effect immediately.#","Number of implemented ASID bits. Maximum is 16 for XLEN==64, and 9 for XLEN==32"
CACHE_BLOCK_SIZE,TODO,NORM_DIRECT,high,Well-known architectural parameter 'CACHE_BLOCK_SIZE',range,[1..18446744073709551615],"Zicbom, Zicbop, Zicboz",(ext:Zicbom OR ext:Zicbop OR ext:Zicboz),False,0,,cmo.adoc,973,5,True,False,[#norm:cbo-zero_unaligned]#It is not required that _rs1_ is aligned to the size of a cache block.# On,"The observable size of a cache block, in bytes"
CONFIG_PTR_ADDRESS,Physical address in `mconfigptr`,NORM_DIRECT,high,Well-known architectural parameter 'CONFIG_PTR_ADDRESS',conditional,2 conditional branches,Sm,ext:Sm(>= 1.12.0),True,1,mconfigptr,machine.adoc,2136,6,False,False,==== Machine Configuration Pointer (`mconfigptr`) Register,The value returned from `mconfigptr`
COUNTINHIBIT_EN,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of mcountinhibit.CY,bitmask,32-bit mask,Sm,ext:Sm,False,62,mcountinhibit,machine.adoc,1669,13,True,False,[#norm:mcountinhibit_sz_warl_op1]#The counter-inhibit register `mcountinhibit` is a 32-bit,"Indicates which hardware performance monitor counters can be disabled from `mcountinhibit`.

An unimplemented counter cannot be specified, i.e., if HPM_COUNTER_EN[3] is false,
it would be illegal to set COUNTINHIBIT_EN[3] to true.

COUNTINHIBIT_EN[1] can never be true, since it corresponds to `mcoun"
DBG_HCONTEXT_WIDTH,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of hcontext.HCONTEXT,range,[0..14],Sdtrig,ext:Sdtrig,False,2,"hcontext, mcontext",smstateen.adoc,287,8,False,False,`hcontext` CSRs provided by the Sdtrig extension. The CONTEXT bit in,Specifies the size of HCONTEXT
DBG_SCONTEXT_WIDTH,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of scontext.DATA,range,[0..32],Sdtrig,ext:Sdtrig,False,1,scontext,hypervisor.adoc,146,6,False,False,"Some standard supervisor CSRs (`senvcfg`, `scounteren`, and `scontext`,",Specifies the size of SCONTEXT
DCSR_MPRVEN_TYPE,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of dcsr.MPRVEN,enum,"values: ['read-only-0', 'read-only-1', 'rw']",Sdtrig,ext:Sdtrig,False,2,dcsr,priv-cfi.adoc,87,4,False,False,"transition to Debug Mode, a `pelp` bit is defined in the `dcsr` register.#","Implementation of dcsr.MPRVEN is optional.
It may be tied to either 0 or 1.

Behavior of the dcsr.MPRVEN bit:
  * 'read-only-0': tied to 0
  * 'read-only-1': tied to 1
  * 'rw': read-write"
DCSR_STEPIE_TYPE,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of dcsr.STEPIE,enum,"values: ['read-only-0', 'read-only-1', 'rw']",Sdtrig,ext:Sdtrig,False,2,dcsr,priv-cfi.adoc,87,4,False,False,"transition to Debug Mode, a `pelp` bit is defined in the `dcsr` register.#","Implementation of dcsr.STEPIE is optional.
It may be tied to either 0 or 1.

Behavior of the dcsr.STEPIE bit:
  * 'read-only-0': tied to 0
  * 'read-only-1': tied to 1
  * 'rw': read-write"
DCSR_STOPCOUNT_TYPE,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of dcsr.STOPCOUNT,enum,"values: ['read-only-0', 'read-only-1', 'rw']",Sdtrig,ext:Sdtrig,False,2,dcsr,priv-cfi.adoc,87,4,False,False,"transition to Debug Mode, a `pelp` bit is defined in the `dcsr` register.#","Implementation of dcsr.STOPCOUNT is optional.
It may be tied to either 0 or 1.

Behavior of the dcsr.STOPCOUNT bit:
  * 'read-only-0': tied to 0
  * 'read-only-1': tied to 1
  * 'rw': read-write"
DCSR_STOPTIME_TYPE,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of dcsr.STOPTIME,enum,"values: ['read-only-0', 'read-only-1', 'rw']",Sdtrig,ext:Sdtrig,False,2,dcsr,priv-cfi.adoc,87,4,False,False,"transition to Debug Mode, a `pelp` bit is defined in the `dcsr` register.#","Implementation of dcsr.STOPTIME is optional.
It may be tied to either 0 or 1.

Behavior of the dcsr.STOPTIME bit:
  * 'read-only-0': tied to 0
  * 'read-only-1': tied to 1
  * 'rw': read-write"
ELEN,TODO,NORM_DIRECT,high,Well-known architectural parameter 'ELEN',value,{'base': 'integer'},V,ext:V,False,0,,v-st-ext.adoc,24,9,True,False,". [#norm:vlen_param]#The number of bits in a single vector register, _VLEN_ {ge} ELEN, which must be a power of 2, and must be no greater than 2^16^.#",The maximum size in bits of a vector element that any operation can produce or consume.
FOLLOW_VTYPE_RESET_RECOMMENDATION,TODO,NORM_DIRECT,medium,Implementation behavioral choice parameter,binary,"choices: [True, False]",V,ext:V,False,6,"vl, vtype",v-st-ext.adoc,169,14,True,False,"NOTE: [#norm:vill_implicit_encoding_param]#A small implementation supporting ELEN=32 requires only seven bits of state in `vtype`: two bits for `ma` and `ta`, two bits for `vsew[1:0]` and three bits f","It is recommended that at reset, vtype.vill is set, the remaining bits in vtype are zero, and vl is set to zero.
If this parameter is set to true, this recommendation is followed. If it is false, at reset the respective fields
will be UNDEFINED_LEGAL."
FORCE_UPGRADE_CBO_INVAL_TO_FLUSH,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of menvcfg.CBIE,binary,"choices: [True, False]",Zicbom,ext:Zicbom,False,1,menvcfg,supervisor.adoc,913,20,False,False,"implemented, `CBIE` is read-only zero. Execution of `CBO.INVAL` in U-mode is","When true, an implementation prohibits setting `menvcfg.CBIE` == `11` such that all `cbo.inval`
instructions either trap (when `menvcfg.CBIE` == '00') or flush (when `menvcfg.CBIE` == '01').

When false, an implementation allows a true INVAL operation for `cbo.inval`, and thus supports
the setting `"
