chunk_id,file,line,section,text,parameter_class,parameter_type,confidence,reviewed,notes
chunk_72400c97,src/b-st-ext.adoc,7,Preamble > Bit Manipulation Extensions,"Thus, when implementing extensions with overlapping instructions, there is no redundancy in logic or encoding.",unknown,enum,high,False,
chunk_72f0e68d,src/b-st-ext.adoc,13,Preamble > Bit Manipulation Extensions,"The bitmanip extension follows the convention in RV64 that w-suffixed instructions (without a dot before the w) ignore the upper 32 bits of their inputs, operate on the least-significant 32 bits as signed values, and produce a 32-bit signed result that is sign-extended to XLEN.",non_CSR_parameter,range,high,False,
chunk_6f482888,src/b-st-ext.adoc,15,Preamble > Bit Manipulation Extensions,Bitmanip instructions with the suffix .uw have one operand that is an unsigned 32-bit value that is extracted from the least-significant 32 bits of the specified register.,non_CSR_parameter,range,high,False,
chunk_6cde1763,src/b-st-ext.adoc,17,Preamble > Bit Manipulation Extensions,"Bitmanip instructions with the suffixes .b, .h, and .w only look at the least-significant 8 bits, 16 bits, and 32 bits of the input (respectively) and produce an XLEN-wide result that is sign-extended or zero-extended, based on the specific instruction.",non_CSR_parameter,range,high,False,
chunk_8ae4c463,src/b-st-ext.adoc,102,"Preamble > Bit Manipulation Extensions > Zba: Extension for Address generation, Version 1.0.0",The slli.uw -- added in this extension -- can be used when the index is to be interpreted as an unsigned word.,unknown,unknown,high,False,
chunk_3bc70eec,src/b-st-ext.adoc,278,"Preamble > Bit Manipulation Extensions > ext:zbb[] Extension for Basic bit-manipulation, Version 1.0.0 > Sign extension and zero extension",These instructions perform the sign extension or zero extension of the least-significant 8 bits or 16 bits of the source register.,non_CSR_parameter,range,high,False,
chunk_ade33c39,src/b-st-ext.adoc,307,"Preamble > Bit Manipulation Extensions > ext:zbb[] Extension for Basic bit-manipulation, Version 1.0.0 > Bitwise rotation","However, where the shift-logical instructions shift in zeros, the rotate instructions shift in the bits that were shifted out of the other side of the value.",unknown,unknown,high,False,
chunk_b800648f,src/b-st-ext.adoc,362,"Preamble > Bit Manipulation Extensions > ext:zbb[] Extension for Basic bit-manipulation, Version 1.0.0 > OR Combine","One use-case is string-processing functions, such as *strlen* and *strcpy*, which can use *orc.b* to test for the terminating zero byte by counting the set bits in leading non-zero bytes in a word.",unknown,unknown,high,False,
chunk_2d7318b2,src/b-st-ext.adoc,593,"Preamble > Bit Manipulation Extensions > Zbkx: Extension for Crossbar permutations, Version 1.0.0","These instructions implement a ""lookup table"" for 4 and 8 bit elements inside the general purpose registers. rs1 is used as a vector of N-bit words, and rs2 as a vector of N-bit indices into rs1.",non_CSR_parameter,range,medium,False,
chunk_07a81f9e,src/b-st-ext.adoc,593,"Preamble > Bit Manipulation Extensions > Zbkx: Extension for Crossbar permutations, Version 1.0.0","Elements in rs1 are replaced by the indexed element in rs2, or zero if the index into rs2 is out of bounds.",unknown,unknown,high,False,
