adoc_file,line_number,parameter_name,class,confidence,reason,excerpt
a-st-ext.adoc,98,LRSC_MISALIGNED_BEHAVIOR,NORM_DIRECT,high,excerpt not found,"For LR and SC, the Zalrsc extension requires that the address held in rs1 be naturally aligned to the size of the operand (i.e., eight-byte aligned for doublewords and four-byte aligned for words). If the address is not naturally aligned, an address-misaligned exception or an access-fault exception will be generated."
a-st-ext.adoc,378,MISALIGNED_AMO,NORM_DIRECT,high,excerpt not found,"For AMOs, the Zaamo extension requires that the address held in rs1 be naturally aligned to the size of the operand (i.e., eight-byte aligned for doublewords and four-byte aligned for words). If the address is not naturally aligned, an address-misaligned exception or an access-fault exception will be generated."
d-st-ext.adoc,11,FLEN,NORM_DIRECT,high,excerpt not found,"The D extension widens the 32 floating-point registers, `f0-f31`, to 64 bits (FLEN=64 in <<fprs>>)."
hypervisor.adoc,1002,HTVAL_TRAPVAL_PARAM,NORM_DIRECT,high,excerpt not found,"The `htval` register can optionally also be used to return the faulting guest physical address that faulted, shifted right by 2 bits"
hypervisor.adoc,1075,GSTAGE_MODE_BARE,NORM_CSR_WARL,high,excerpt not found,"the fields of `hgatp` are *WARL* in the normal way, so an unsupported value is simply not stored"
hypervisor.adoc,1568,VS_STAGE_SPECULATIVE_A_BIT,NORM_DIRECT,medium,excerpt not found,"when `vsatp` is active, VS-stage page-table entries' A bits must not be set as a result of speculative execution, unless the effective privilege mode is VS or VU"
hypervisor.adoc,2421,MTVAL2_TRAPVAL_PARAM,NORM_DIRECT,high,excerpt not found,"The `mtval2` register can optionally also be used to return the faulting guest physical address that faulted, shifted right by 2 bits"
indirect-csr.adoc,60,MISELECT_WIDTH,NORM_DIRECT,high,excerpt not found,The miselect register implements at least enough bits to support all implemented miselect values (corresponding to the implemented extensions that utilize miselect/mireg* to indirectly access register state).
indirect-csr.adoc,238,MSTATEEN_CSRIND_TYPE,NORM_CSR_RW,high,excerpt not found,"If extension Smstateen is implemented together with Smcsrind, bit 60 of state-enable register mstateen0 controls access to siselect, sireg*, vsiselect, and vsireg*."
indirect-csr.adoc,249,HSTATEEN_CSRIND_TYPE,NORM_CSR_RW,high,excerpt not found,"If the hypervisor extension is implemented, the same bit is defined also in hypervisor CSR hstateen0, but controls access to only siselect and sireg*"
machine.adoc,1217,MTVEC_ACCESS,NORM_CSR_RW,high,excerpt not found,"The `mtvec` register must always be implemented, but can contain a read-only value"
machine.adoc,2154,CONFIG_PTR_ADDRESS,NORM_DIRECT,high,excerpt not found,"The `mconfigptr` register must be implemented, but it may be zero to indicate the configuration data structure does not exist"
machine.adoc,3335,PMP_HARDWIRED_REGIONS,NORM_DIRECT,medium,excerpt not found,"Certain regions' privileges can be hardwired—for example, some regions might only ever be visible in machine mode but in no lower-privilege layers."
machine.adoc,3386,PMPADDR_WARL_MASK,NORM_CSR_WARL,high,excerpt not found,"Not all physical address bits may be implemented, and so the `pmpaddr` registers are WARL."
v-st-ext.adoc,22,ELEN,NORM_DIRECT,high,excerpt not found,"The maximum size in bits of a vector element that any operation can produce or consume, _ELEN_ >= 8, which must be a power of 2."
v-st-ext.adoc,24,VLEN,NORM_DIRECT,high,excerpt not found,"The number of bits in a single vector register, _VLEN_ >= ELEN, which must be a power of 2, and must be no greater than 2^16."
v-st-ext.adoc,1825,VECTOR_LS_WHOLEREG_MISSALIGNED_EXCEPTION,NORM_DIRECT,high,excerpt not found,Implementations are allowed to raise a misaligned address exception on whole register loads and stores if the base address is not naturally aligned to the larger of the size of the encoded EEW in bytes (EEW/8) or the implementation's smallest supported SEW size in bytes (SEW_MIN/8).
v-st-ext.adoc,5267,ZVE_EEW64_NSUPPORT_XLEN32,NORM_DIRECT,high,excerpt not found,All Zve* extensions do not support EEW=64 for index values when XLEN=32.
